30051;Device class;;U32;ENUM;RO
30053;Device type;;U32;ENUM;RO
30057;Serial number;;U32;RAW;RO
30059;Software package;;U32;FW;RO
30197;Current event number;;U32;FIX0;RO
30199;Waiting time until feed-in;s;U32;Duration;RO
30201;Condition;;U32;ENUM;RO
30203;Nominal power in Ok Mode;W;U32;FIX0;RO
30205;Nominal power in Warning Mode;W;U32;FIX0;RO
30207;Nominal power in Fault Mode;W;U32;FIX0;RO
30211;Recommended action;;U32;ENUM;RO
30213;Message;;U32;ENUM;RO
30215;Fault correction measure;;U32;ENUM;RO
30217;Grid relay/contactor;;U32;ENUM;RO
30219;Derating;;U32;ENUM;RO
30225;Insulation resistance;Ohms;U32;FIX0;RO
30231;Maximum active power device;W;U32;FIX0;RO
30233;Set active power limit;W;U32;FIX0;RO
30247;Current event number for manufacturer;;U32;FIX0;RO
30513;Total yield;Wh;U64;FIX0;RO
30517;Daily yield;Wh;U64;FIX0;RO
30521;Operating time;s;U64;Duration;RO
30525;Feed-in time;s;U64;Duration;RO
30529;Total yield;Wh;U32;FIX0;RO
30531;Total yield;kWh;U32;FIX0;RO
30533;Total yield;MWh;U32;FIX0;RO
30535;Daily yield;Wh;U32;FIX0;RO
30537;Daily yield;kWh;U32;FIX0;RO
30539;Daily yield;MWh;U32;FIX0;RO
30541;Operating time;s;U32;Duration;RO
30543;Feed-in time;s;U32;Duration;RO
30559;Number of events for user;;U32;FIX0;RO
30561;Number of events for installer;;U32;FIX0;RO
30563;Number of events for service;;U32;FIX0;RO
30583;Grid feed-in counter reading;Wh;U32;FIX0;RO
30599;Number of grid connections;;U32;FIX0;RO
30775;Power;W;S32;FIX0;RO
30777;Power L1;W;S32;FIX0;RO
30779;Power L2;W;S32;FIX0;RO
30781;Power L3;W;S32;FIX0;RO
30783;Grid voltage phase L1;V;U32;FIX2;RO
30785;Grid voltage phase L2;V;U32;FIX2;RO
30787;Grid voltage phase L3;V;U32;FIX2;RO
30797;Grid current phase L1;A;U32;FIX3;RO
30799;Grid current phase L2;A;U32;FIX3;RO
30801;Grid current phase L3;A;U32;FIX3;RO
30803;Grid frequency;Hz;U32;FIX2;RO
30805;Reactive power;VAr;S32;FIX0;RO
30807;Reactive power L1;VAr;S32;FIX0;RO
30809;Reactive power L2;VAr;S32;FIX0;RO
30811;Reactive power L3;VAr;S32;FIX0;RO
30813;Apparent power;VA;S32;FIX0;RO
30815;Apparent power L1;VA;S32;FIX0;RO
30817;Apparent power L2;VA;S32;FIX0;RO
30819;Apparent power L3;VA;S32;FIX0;RO
30825;Operating mode of stat.V stab., stat.V stab. config.;;U32;ENUM;RO
30829;Reactive power set value as a %;%;S32;FIX1;RO
